date,geography,industry,characteristics,estimate
April 2021,New Brunswick,"Forestry, fishing,",Labour Force,7.6999998
April 2021,New Brunswick,Health care and social assistance,Employment,62.400002
April 2021,New Brunswick,Health care and social assistance,Labour Force,63.400002
April 2021,New Brunswick,Information and Communication Technologies,Employment,12.2
April 2021,New Brunswick,Information and Communication Technologies,Labour Force,12.9
April 2021,New Brunswick,"Information, culture and recreation",Employment,8.8000002
April 2021,New Brunswick,"Information, culture and recreation",Labour Force,10.7
April 2021,New Brunswick,Manufacturing,Employment,29.4
April 2021,New Brunswick,Manufacturing,Labour Force,32
April 2021,New Brunswick,"Mining, quarrying, oil and gas",Employment,2.5999999
April 2021,New Brunswick,"Mining, quarrying, oil and gas",Labour Force,3.4000001
April 2021,New Brunswick,Other services,Employment,14.6
April 2021,New Brunswick,Other services,Labour Force,15.5
April 2021,New Brunswick,"Professional, scientific and technical services",Employment,17.6
April 2021,New Brunswick,"Professional, scientific and technical services",Labour Force,18.700001
April 2021,New Brunswick,Public administration,Employment,29.299999
April 2021,New Brunswick,Public administration,Labour Force,29.799999
April 2021,New Brunswick,Real estate and leasing,Employment,5
April 2021,New Brunswick,Real estate and leasing,Labour Force,5.1999998
April 2021,New Brunswick,"Total, all industries",Employment,353.70001
April 2021,New Brunswick,"Total, all industries",Labour Force,394.60001
April 2021,New Brunswick,Trade,Employment,56.099998
April 2021,New Brunswick,Trade,Labour Force,60.099998
April 2021,New Brunswick,Transportation and warehousing,Employment,18.799999
April 2021,New Brunswick,Transportation and warehousing,Labour Force,20.4
April 2021,New Brunswick,Utilities,Employment,3.7
April 2021,New Brunswick,Utilities,Labour Force,3.7
April 2021,Newfoundland and Labrador,Accommodation and food services,Employment,10.9
April 2021,Newfoundland and Labrador,Accommodation and food services,Labour Force,12
April 2021,Newfoundland and Labrador,Agriculture,Employment,.89999998
April 2021,Newfoundland and Labrador,Agriculture,Labour Force,1.3
April 2021,Newfoundland and Labrador,"Business, building and other support services",Employment,8
April 2021,Newfoundland and Labrador,"Business, building and other support services",Labour Force,9.3999996
April 2021,Newfoundland and Labrador,Construction,Employment,11.6
April 2021,Newfoundland and Labrador,Construction,Labour Force,19.5
April 2021,Newfoundland and Labrador,Digital Economy,Employment,14.7
April 2021,Newfoundland and Labrador,Digital Economy,Labour Force,16
April 2021,Newfoundland and Labrador,Educational services,Employment,16.700001
April 2021,Newfoundland and Labrador,Educational services,Labour Force,17.299999
April 2021,Newfoundland and Labrador,"Finance, insurance,",Employment,5.6999998
April 2021,Newfoundland and Labrador,"Finance, insurance,",Labour Force,5.6999998
April 2021,Newfoundland and Labrador,"Forestry, fishing,",Employment,5.1999998
April 2021,Newfoundland and Labrador,"Forestry, fishing,",Labour Force,9.1000004
April 2021,Newfoundland and Labrador,Health care and social assistance,Employment,43.900002
April 2021,Newfoundland and Labrador,Health care and social assistance,Labour Force,45.599998
April 2021,Newfoundland and Labrador,Information and Communication Technologies,Employment,5.5
April 2021,Newfoundland and Labrador,Information and Communication Technologies,Labour Force,5.5
April 2021,Newfoundland and Labrador,"Information, culture and recreation",Employment,4.3000002
April 2021,Newfoundland and Labrador,"Information, culture and recreation",Labour Force,5.6999998
April 2021,Newfoundland and Labrador,Manufacturing,Employment,11.4
April 2021,Newfoundland and Labrador,Manufacturing,Labour Force,13.1
April 2021,Newfoundland and Labrador,"Mining, quarrying, oil and gas",Employment,7.4000001
April 2021,Newfoundland and Labrador,"Mining, quarrying, oil and gas",Labour Force,8.6000004
April 2021,Newfoundland and Labrador,Other services,Employment,8.5
April 2021,Newfoundland and Labrador,Other services,Labour Force,8.8999996
April 2021,Newfoundland and Labrador,"Professional, scientific and technical services",Employment,10.1
April 2021,Newfoundland and Labrador,"Professional, scientific and technical services",Labour Force,10.4
April 2021,Newfoundland and Labrador,Public administration,Employment,18.6
April 2021,Newfoundland and Labrador,Public administration,Labour Force,19.4
April 2021,Newfoundland and Labrador,Real estate and leasing,Employment,1.8
April 2021,Newfoundland and Labrador,Real estate and leasing,Labour Force,2.0999999
April 2021,Newfoundland and Labrador,"Total, all industries",Employment,212
April 2021,Newfoundland and Labrador,"Total, all industries",Labour Force,252.39999
April 2021,Newfoundland and Labrador,Trade,Employment,36.799999
April 2021,Newfoundland and Labrador,Trade,Labour Force,40.200001
April 2021,Newfoundland and Labrador,Transportation and warehousing,Employment,7.9000001
April 2021,Newfoundland and Labrador,Transportation and warehousing,Labour Force,9.5
April 2021,Newfoundland and Labrador,Utilities,Employment,2.2
April 2021,Newfoundland and Labrador,Utilities,Labour Force,2.2
April 2021,Nova Scotia,Accommodation and food services,Employment,26.9
April 2021,Nova Scotia,Accommodation and food services,Labour Force,28.4
April 2021,Nova Scotia,Agriculture,Employment,6.6999998
April 2021,Nova Scotia,Agriculture,Labour Force,8.3000002
April 2021,Nova Scotia,"Business, building and other support services",Employment,17.200001
April 2021,Nova Scotia,"Business, building and other support services",Labour Force,19.4
April 2021,Nova Scotia,Construction,Employment,34.299999
April 2021,Nova Scotia,Construction,Labour Force,39.099998
April 2021,Nova Scotia,Digital Economy,Employment,39.099998
April 2021,Nova Scotia,Digital Economy,Labour Force,41.600002
April 2021,Nova Scotia,Educational services,Employment,41.200001
April 2021,Nova Scotia,Educational services,Labour Force,41.900002
April 2021,Nova Scotia,"Finance, insurance,",Employment,17.799999
April 2021,Nova Scotia,"Finance, insurance,",Labour Force,17.799999
April 2021,Nova Scotia,"Forestry, fishing,",Employment,9.1000004
April 2021,Nova Scotia,"Forestry, fishing,",Labour Force,11.1
April 2021,Nova Scotia,Health care and social assistance,Employment,73.5
April 2021,Nova Scotia,Health care and social assistance,Labour Force,74
April 2021,Nova Scotia,Information and Communication Technologies,Employment,20.4
April 2021,Nova Scotia,Information and Communication Technologies,Labour Force,21.4
April 2021,Nova Scotia,"Information, culture and recreation",Employment,13.8
April 2021,Nova Scotia,"Information, culture and recreation",Labour Force,15.8
April 2021,Nova Scotia,Manufacturing,Employment,32.400002
April 2021,Nova Scotia,Manufacturing,Labour Force,34.799999
April 2021,Nova Scotia,"Mining, quarrying, oil and gas",Employment,3.3
April 2021,Nova Scotia,"Mining, quarrying, oil and gas",Labour Force,4
April 2021,Nova Scotia,Other services,Employment,15.8
April 2021,Nova Scotia,Other services,Labour Force,17.4
April 2021,Nova Scotia,"Professional, scientific and technical services",Employment,33.599998
April 2021,Nova Scotia,"Professional, scientific and technical services",Labour Force,34.299999
April 2021,Nova Scotia,Public administration,Employment,30.6
April 2021,Nova Scotia,Public administration,Labour Force,30.9
April 2021,Nova Scotia,Real estate and leasing,Employment,5.1999998
April 2021,Nova Scotia,Real estate and leasing,Labour Force,5.6999998
April 2021,Nova Scotia,"Total, all industries",Employment,458.39999
April 2021,Nova Scotia,"Total, all industries",Labour Force,502.70001
April 2021,Nova Scotia,Trade,Employment,70.900002
April 2021,Nova Scotia,Trade,Labour Force,73.699997
April 2021,Nova Scotia,Transportation and warehousing,Employment,21.6
April 2021,Nova Scotia,Transportation and warehousing,Labour Force,23.5
April 2021,Nova Scotia,Utilities,Employment,4.5999999
April 2021,Nova Scotia,Utilities,Labour Force,4.5999999
April 2021,Ontario,Accommodation and food services,Employment,304.70001
April 2021,Ontario,Accommodation and food services,Labour Force,355.70001
April 2021,Ontario,Agriculture,Employment,67.099998
April 2021,Ontario,Agriculture,Labour Force,70.300003
April 2021,Ontario,"Business, building and other support services",Employment,269.5
April 2021,Ontario,"Business, building and other support services",Labour Force,288.60001
April 2021,Ontario,Construction,Employment,516.79999
April 2021,Ontario,Construction,Labour Force,552.5
April 2021,Ontario,Digital Economy,Employment,906
April 2021,Ontario,Digital Economy,Labour Force,932.80005
April 2021,Ontario,Educational services,Employment,537
April 2021,Ontario,Educational services,Labour Force,562.20001
April 2021,Ontario,"Finance, insurance,",Employment,474
April 2021,Ontario,"Finance, insurance,",Labour Force,477.89999
April 2021,Ontario,"Forestry, fishing,",Employment,6.9000001
April 2021,Ontario,"Forestry, fishing,",Labour Force,6.9000001
April 2021,Ontario,Health care and social assistance,Employment,899.09998
April 2021,Ontario,Health care and social assistance,Labour Force,924.09998
April 2021,Ontario,Information and Communication Technologies,Employment,448.70001
April 2021,Ontario,Information and Communication Technologies,Labour Force,461.60001
April 2021,Ontario,"Information, culture and recreation",Employment,281.79999
April 2021,Ontario,"Information, culture and recreation",Labour Force,303.20001
April 2021,Ontario,Manufacturing,Employment,772.29999
April 2021,Ontario,Manufacturing,Labour Force,826.59998
April 2021,Ontario,"Mining, quarrying, oil and gas",Employment,25.799999
April 2021,Ontario,"Mining, quarrying, oil and gas",Labour Force,27.1
April 2021,Ontario,Other services,Employment,288.79999
April 2021,Ontario,Other services,Labour Force,309.5
April 2021,Ontario,"Professional, scientific and technical services",Employment,707.70001
April 2021,Ontario,"Professional, scientific and technical services",Labour Force,729.40002
April 2021,Ontario,Public administration,Employment,397.5
April 2021,Ontario,Public administration,Labour Force,401.20001
April 2021,Ontario,Real estate and leasing,Employment,164.2
April 2021,Ontario,Real estate and leasing,Labour Force,166.5
April 2021,Ontario,"Total, all industries",Employment,7154.3999
April 2021,Ontario,"Total, all industries",Labour Force,7866.3999
April 2021,Ontario,Trade,Employment,1024.9
April 2021,Ontario,Trade,Labour Force,1107.3
April 2021,Ontario,Transportation and warehousing,Employment,366.29999
April 2021,Ontario,Transportation and warehousing,Labour Force,391.5
April 2021,Ontario,Utilities,Employment,49.799999
April 2021,Ontario,Utilities,Labour Force,50.400002
April 2021,Prince Edward Island,Accommodation and food services,Employment,3.5
April 2021,Prince Edward Island,Accommodation and food services,Labour Force,4.1999998
April 2021,Prince Edward Island,Agriculture,Employment,3.5
April 2021,Prince Edward Island,Agriculture,Labour Force,4.4000001
April 2021,Prince Edward Island,"Business, building and other support services",Employment,1.9
April 2021,Prince Edward Island,"Business, building and other support services",Labour Force,2.2
April 2021,Prince Edward Island,Construction,Employment,5.5999999
April 2021,Prince Edward Island,Construction,Labour Force,6.0999999
April 2021,Prince Edward Island,Digital Economy,Employment,6.3000002
April 2021,Prince Edward Island,Digital Economy,Labour Force,6.3999996
April 2021,Prince Edward Island,Educational services,Employment,6.5
April 2021,Prince Edward Island,Educational services,Labour Force,6.6999998
April 2021,Prince Edward Island,"Finance, insurance,",Employment,2
April 2021,Prince Edward Island,"Finance, insurance,",Labour Force,2
April 2021,Prince Edward Island,"Forestry, fishing,",Employment,1.8
April 2021,Prince Edward Island,"Forestry, fishing,",Labour Force,3.2
April 2021,Prince Edward Island,Health care and social assistance,Employment,11.2
April 2021,Prince Edward Island,Health care and social assistance,Labour Force,11.3
April 2021,Prince Edward Island,Information and Communication Technologies,Employment,2.5
April 2021,Prince Edward Island,Information and Communication Technologies,Labour Force,2.5999999
April 2021,Prince Edward Island,"Information, culture and recreation",Employment,2.2
April 2021,Prince Edward Island,"Information, culture and recreation",Labour Force,2.4000001
April 2021,Prince Edward Island,Manufacturing,Employment,6.0999999
April 2021,Prince Edward Island,Manufacturing,Labour Force,7.5
April 2021,Prince Edward Island,"Mining, quarrying, oil and gas",Employment,0
April 2021,Prince Edward Island,"Mining, quarrying, oil and gas",Labour Force,0
April 2021,Prince Edward Island,Other services,Employment,3.0999999
April 2021,Prince Edward Island,Other services,Labour Force,3.0999999
April 2021,Prince Edward Island,"Professional, scientific and technical services",Employment,4.5
April 2021,Prince Edward Island,"Professional, scientific and technical services",Labour Force,4.6999998
April 2021,Prince Edward Island,Public administration,Employment,8.6999998
April 2021,Prince Edward Island,Public administration,Labour Force,8.8999996
April 2021,Prince Edward Island,Real estate and leasing,Employment,.80000001
April 2021,Prince Edward Island,Real estate and leasing,Labour Force,.89999998
April 2021,Prince Edward Island,"Total, all industries",Employment,74.800003
April 2021,Prince Edward Island,"Total, all industries",Labour Force,84.300003
April 2021,Prince Edward Island,Trade,Employment,10.6
April 2021,Prince Edward Island,Trade,Labour Force,11.2
April 2021,Prince Edward Island,Transportation and warehousing,Employment,2.4000001
April 2021,Prince Edward Island,Transportation and warehousing,Labour Force,2.9000001
April 2021,Prince Edward Island,Utilities,Employment,.2
April 2021,Prince Edward Island,Utilities,Labour Force,.2
April 2021,Quebec,Accommodation and food services,Employment,167.2
April 2021,Quebec,Accommodation and food services,Labour Force,193.5
April 2021,Quebec,Agriculture,Employment,56.700001
April 2021,Quebec,Agriculture,Labour Force,57.599998
April 2021,Quebec,"Business, building and other support services",Employment,150.5
April 2021,Quebec,"Business, building and other support services",Labour Force,164.8
April 2021,Quebec,Construction,Employment,273.5
April 2021,Quebec,Construction,Labour Force,291
April 2021,Quebec,Digital Economy,Employment,421.20001
April 2021,Quebec,Digital Economy,Labour Force,434.70001
April 2021,Quebec,Educational services,Employment,378.60001
April 2021,Quebec,Educational services,Labour Force,382.79999
April 2021,Quebec,"Finance, insurance,",Employment,201.3
April 2021,Quebec,"Finance, insurance,",Labour Force,204.89999
April 2021,Quebec,"Forestry, fishing,",Employment,15.2
April 2021,Quebec,"Forestry, fishing,",Labour Force,17.799999
April 2021,Quebec,Health care and social assistance,Employment,594.09998
April 2021,Quebec,Health care and social assistance,Labour Force,598.5
April 2021,Quebec,Information and Communication Technologies,Employment,209
April 2021,Quebec,Information and Communication Technologies,Labour Force,218.60001
April 2021,Quebec,"Information, culture and recreation",Employment,139.5
April 2021,Quebec,"Information, culture and recreation",Labour Force,151
April 2021,Quebec,Manufacturing,Employment,478.39999
April 2021,Quebec,Manufacturing,Labour Force,509.79999
April 2021,Quebec,"Mining, quarrying, oil and gas",Employment,22.799999
April 2021,Quebec,"Mining, quarrying, oil and gas",Labour Force,24.299999
April 2021,Quebec,Other services,Employment,147.3
April 2021,Quebec,Other services,Labour Force,150.3
April 2021,Quebec,"Professional, scientific and technical services",Employment,357.10001
April 2021,Quebec,"Professional, scientific and technical services",Labour Force,364.20001
April 2021,Quebec,Public administration,Employment,252.10001
April 2021,Quebec,Public administration,Labour Force,255.5
April 2021,Quebec,Real estate and leasing,Employment,58.5
April 2021,Quebec,Real estate and leasing,Labour Force,65.599998
April 2021,Quebec,"Total, all industries",Employment,4171.7998
April 2021,Quebec,"Total, all industries",Labour Force,4494
April 2021,Quebec,Trade,Employment,633.5
April 2021,Quebec,Trade,Labour Force,658.20001
April 2021,Quebec,Transportation and warehousing,Employment,219.5
April 2021,Quebec,Transportation and warehousing,Labour Force,232.5
April 2021,Quebec,Utilities,Employment,26
April 2021,Quebec,Utilities,Labour Force,26
April 2021,Saskatchewan,Accommodation and food services,Employment,28.4
April 2021,Saskatchewan,Accommodation and food services,Labour Force,29.9
April 2021,Saskatchewan,Agriculture,Employment,32.299999
April 2021,Saskatchewan,Agriculture,Labour Force,33.099998
April 2021,Saskatchewan,"Business, building and other support services",Employment,14.6
April 2021,Saskatchewan,"Business, building and other support services",Labour Force,15.6
April 2021,Saskatchewan,Construction,Employment,42.900002
April 2021,Saskatchewan,Construction,Labour Force,48.099998
April 2021,Saskatchewan,Digital Economy,Employment,33.800003
April 2021,Saskatchewan,Digital Economy,Labour Force,35.5
April 2021,Saskatchewan,Educational services,Employment,47.400002
April 2021,Saskatchewan,Educational services,Labour Force,48.5
April 2021,Saskatchewan,"Finance, insurance,",Employment,20.4
April 2021,Saskatchewan,"Finance, insurance,",Labour Force,20.6
April 2021,Saskatchewan,"Forestry, fishing,",Employment,0
April 2021,Saskatchewan,"Forestry, fishing,",Labour Force,.60000002
April 2021,Saskatchewan,Health care and social assistance,Employment,86.300003
April 2021,Saskatchewan,Health care and social assistance,Labour Force,87.199997
April 2021,Saskatchewan,Information and Communication Technologies,Employment,15.1
April 2021,Saskatchewan,Information and Communication Technologies,Labour Force,15.4
April 2021,Saskatchewan,"Information, culture and recreation",Employment,14.6
April 2021,Saskatchewan,"Information, culture and recreation",Labour Force,15.7
April 2021,Saskatchewan,Manufacturing,Employment,32.299999
April 2021,Saskatchewan,Manufacturing,Labour Force,34.200001
April 2021,Saskatchewan,"Mining, quarrying, oil and gas",Employment,19.200001
April 2021,Saskatchewan,"Mining, quarrying, oil and gas",Labour Force,19.9
April 2021,Saskatchewan,Other services,Employment,27.200001
April 2021,Saskatchewan,Other services,Labour Force,28.299999
April 2021,Saskatchewan,"Professional, scientific and technical services",Employment,29.700001
April 2021,Saskatchewan,"Professional, scientific and technical services",Labour Force,30.5
April 2021,Saskatchewan,Public administration,Employment,34.700001
April 2021,Saskatchewan,Public administration,Labour Force,35.799999
April 2021,Saskatchewan,Real estate and leasing,Employment,6
April 2021,Saskatchewan,Real estate and leasing,Labour Force,6.9000001
April 2021,Saskatchewan,"Total, all industries",Employment,550.79999
April 2021,Saskatchewan,"Total, all industries",Labour Force,594.90002
April 2021,Saskatchewan,Trade,Employment,88.400002
April 2021,Saskatchewan,Trade,Labour Force,90.900002
April 2021,Saskatchewan,Transportation and warehousing,Employment,20.799999
April 2021,Saskatchewan,Transportation and warehousing,Labour Force,23.200001
April 2021,Saskatchewan,Utilities,Employment,5.4000001
April 2021,Saskatchewan,Utilities,Labour Force,5.4000001
March 2021,Alberta,Accommodation and food services,Employment,104.3
March 2021,Alberta,Accommodation and food services,Labour Force,116.7
March 2021,Alberta,Agriculture,Employment,37.200001
March 2021,Alberta,Agriculture,Labour Force,38.299999
March 2021,Alberta,"Business, building and other support services",Employment,69.300003
March 2021,Alberta,"Business, building and other support services",Labour Force,78.5
March 2021,Alberta,Construction,Employment,215.2
March 2021,Alberta,Construction,Labour Force,239
March 2021,Alberta,Digital Economy,Employment,173.60001
March 2021,Alberta,Digital Economy,Labour Force,182.20001
March 2021,Alberta,Educational services,Employment,179.8
