date,geography,occupation,characteristics,estimate
April 2021,Alberta,2241 Electrical and electronics engineering technologists and technicians,Labour Force,4.6999998
April 2021,Alberta,2281 Computer network technicians,Employment,2.0999999
April 2021,Alberta,2281 Computer network technicians,Labour Force,2.0999999
April 2021,Alberta,2282 User support technicians,Employment,14.5
April 2021,Alberta,2282 User support technicians,Labour Force,14.7
April 2021,Alberta,2283 Information systems testing technicians,Employment,0
April 2021,Alberta,2283 Information systems testing technicians,Labour Force,0
April 2021,Alberta,4163 Business development officers and marketing researchers and consultants,Employment,5.3000002
April 2021,Alberta,4163 Business development officers and marketing researchers and consultants,Labour Force,5.3000002
April 2021,Alberta,5241 Graphic designers and illustrators,Employment,1.9
April 2021,Alberta,5241 Graphic designers and illustrators,Labour Force,1.9
April 2021,Alberta,7241 Electricians (except industrial and power system),Employment,8.8999996
April 2021,Alberta,7241 Electricians (except industrial and power system),Labour Force,10.6
April 2021,Alberta,7242 Industrial electricians,Employment,3.7
April 2021,Alberta,7242 Industrial electricians,Labour Force,5.1999998
April 2021,Alberta,7244 Electrical power line and cable workers,Employment,1.7
April 2021,Alberta,7244 Electrical power line and cable workers,Labour Force,1.7
April 2021,Alberta,7245 Telecommunications line and cable workers,Employment,1.6
April 2021,Alberta,7245 Telecommunications line and cable workers,Labour Force,1.6
April 2021,Alberta,7246 Telecommunications installation and repair workers,Employment,3.2
April 2021,Alberta,7246 Telecommunications installation and repair workers,Labour Force,3.2
April 2021,British Columbia,0211 Engineering managers,Employment,2
April 2021,British Columbia,0211 Engineering managers,Labour Force,2
April 2021,British Columbia,0213 Computer and information systems managers,Employment,7.0999999
April 2021,British Columbia,0213 Computer and information systems managers,Labour Force,7.0999999
April 2021,British Columbia,0601 Corporate sales managers,Employment,3.0999999
April 2021,British Columbia,0601 Corporate sales managers,Labour Force,3.0999999
April 2021,British Columbia,"1123 Professional occupations in advertising, marketing and public relations",Employment,39.200001
April 2021,British Columbia,"1123 Professional occupations in advertising, marketing and public relations",Labour Force,40
April 2021,British Columbia,1253 Records management technicians,Employment,0
April 2021,British Columbia,1253 Records management technicians,Labour Force,0
April 2021,British Columbia,2133 Electrical and electronics engineers,Employment,7.4000001
April 2021,British Columbia,2133 Electrical and electronics engineers,Labour Force,7.4000001
April 2021,British Columbia,2147 Computer engineers (except software engineers and designers),Employment,3.3
April 2021,British Columbia,2147 Computer engineers (except software engineers and designers),Labour Force,3.3
April 2021,British Columbia,"2148 Other professional engineers, n.e.c.",Employment,4.5999999
April 2021,British Columbia,"2148 Other professional engineers, n.e.c.",Labour Force,4.5999999
April 2021,British Columbia,"2161 Mathematicians, statisticians and actuaries",Employment,1.6
April 2021,British Columbia,"2161 Mathematicians, statisticians and actuaries",Labour Force,1.6
April 2021,British Columbia,2171 Information systems analysts and consultants,Employment,26.9
April 2021,British Columbia,2171 Information systems analysts and consultants,Labour Force,27.200001
April 2021,British Columbia,2172 Database analysts and data administrators,Employment,8
April 2021,British Columbia,2172 Database analysts and data administrators,Labour Force,8
April 2021,British Columbia,2173 Software engineers and designers,Employment,23.6
April 2021,British Columbia,2173 Software engineers and designers,Labour Force,23.6
April 2021,British Columbia,2174 Computer programmers and interactive media developers,Employment,43
April 2021,British Columbia,2174 Computer programmers and interactive media developers,Labour Force,43.099998
April 2021,British Columbia,2175 Web designers and developers,Employment,6.9000001
April 2021,British Columbia,2175 Web designers and developers,Labour Force,8.1000004
April 2021,British Columbia,2241 Electrical and electronics engineering technologists and technicians,Employment,5.3000002
April 2021,British Columbia,2241 Electrical and electronics engineering technologists and technicians,Labour Force,5.3000002
April 2021,British Columbia,2281 Computer network technicians,Employment,6.5
April 2021,British Columbia,2281 Computer network technicians,Labour Force,6.5
April 2021,British Columbia,2282 User support technicians,Employment,20.200001
April 2021,British Columbia,2282 User support technicians,Labour Force,20.200001
April 2021,British Columbia,2283 Information systems testing technicians,Employment,2.5999999
April 2021,British Columbia,2283 Information systems testing technicians,Labour Force,2.5999999
April 2021,British Columbia,4163 Business development officers and marketing researchers and consultants,Employment,2.0999999
April 2021,British Columbia,4163 Business development officers and marketing researchers and consultants,Labour Force,2.0999999
April 2021,British Columbia,5223 Graphic arts technicians,Employment,2.4000001
April 2021,British Columbia,5223 Graphic arts technicians,Labour Force,2.4000001
April 2021,British Columbia,5241 Graphic designers and illustrators,Employment,25.200001
April 2021,British Columbia,5241 Graphic designers and illustrators,Labour Force,25.200001
April 2021,British Columbia,7241 Electricians (except industrial and power system),Employment,16.4
April 2021,British Columbia,7241 Electricians (except industrial and power system),Labour Force,16.4
April 2021,British Columbia,7242 Industrial electricians,Employment,6.5
April 2021,British Columbia,7242 Industrial electricians,Labour Force,6.5
April 2021,British Columbia,7243 Power system electricians,Employment,0
April 2021,British Columbia,7243 Power system electricians,Labour Force,0
April 2021,British Columbia,7244 Electrical power line and cable workers,Employment,0
April 2021,British Columbia,7244 Electrical power line and cable workers,Labour Force,0
April 2021,British Columbia,7245 Telecommunications line and cable workers,Employment,0
April 2021,British Columbia,7245 Telecommunications line and cable workers,Labour Force,0
April 2021,British Columbia,7246 Telecommunications installation and repair workers,Employment,0
April 2021,British Columbia,7246 Telecommunications installation and repair workers,Labour Force,0
April 2021,British Columbia,7247 Cable television service and maintenance technicians,Employment,0
April 2021,British Columbia,7247 Cable television service and maintenance technicians,Labour Force,0
April 2021,Canada,0211 Engineering managers,Employment,23.299999
April 2021,Canada,0211 Engineering managers,Labour Force,23.799999
April 2021,Canada,0213 Computer and information systems managers,Employment,63.099998
April 2021,Canada,0213 Computer and information systems managers,Labour Force,63.299999
April 2021,Canada,0601 Corporate sales managers,Employment,12.8
April 2021,Canada,0601 Corporate sales managers,Labour Force,13.5
April 2021,Canada,"1123 Professional occupations in advertising, marketing and public relations",Employment,197.3
April 2021,Canada,"1123 Professional occupations in advertising, marketing and public relations",Labour Force,201.8
April 2021,Canada,1253 Records management technicians,Employment,5.4000001
April 2021,Canada,1253 Records management technicians,Labour Force,5.8000002
April 2021,Canada,2133 Electrical and electronics engineers,Employment,47.599998
April 2021,Canada,2133 Electrical and electronics engineers,Labour Force,48.900002
April 2021,Canada,2147 Computer engineers (except software engineers and designers),Employment,20.799999
April 2021,Canada,2147 Computer engineers (except software engineers and designers),Labour Force,20.799999
April 2021,Canada,"2148 Other professional engineers, n.e.c.",Employment,26
April 2021,Canada,"2148 Other professional engineers, n.e.c.",Labour Force,26.1
April 2021,Canada,"2161 Mathematicians, statisticians and actuaries",Employment,20.6
April 2021,Canada,"2161 Mathematicians, statisticians and actuaries",Labour Force,20.6
April 2021,Canada,2171 Information systems analysts and consultants,Employment,264.89999
April 2021,Canada,2171 Information systems analysts and consultants,Labour Force,270.39999
April 2021,Canada,2172 Database analysts and data administrators,Employment,63.700001
April 2021,Canada,2172 Database analysts and data administrators,Labour Force,66.400002
April 2021,Canada,2173 Software engineers and designers,Employment,98.5
April 2021,Canada,2173 Software engineers and designers,Labour Force,99.199997
April 2021,Canada,2174 Computer programmers and interactive media developers,Employment,228
April 2021,Canada,2174 Computer programmers and interactive media developers,Labour Force,231.3
April 2021,Canada,2175 Web designers and developers,Employment,31.4
April 2021,Canada,2175 Web designers and developers,Labour Force,35.200001
April 2021,Canada,2241 Electrical and electronics engineering technologists and technicians,Employment,36.400002
April 2021,Canada,2241 Electrical and electronics engineering technologists and technicians,Labour Force,38.099998
April 2021,Canada,2281 Computer network technicians,Employment,49.900002
April 2021,Canada,2281 Computer network technicians,Labour Force,49.900002
April 2021,Canada,2282 User support technicians,Employment,102.2
April 2021,Canada,2282 User support technicians,Labour Force,104.9
April 2021,Canada,2283 Information systems testing technicians,Employment,11.8
April 2021,Canada,2283 Information systems testing technicians,Labour Force,13.1
April 2021,Canada,4163 Business development officers and marketing researchers and consultants,Employment,39.5
April 2021,Canada,4163 Business development officers and marketing researchers and consultants,Labour Force,40.099998
April 2021,Canada,5223 Graphic arts technicians,Employment,11.1
April 2021,Canada,5223 Graphic arts technicians,Labour Force,12
April 2021,Canada,5224 Broadcast technicians,Employment,1.9
April 2021,Canada,5224 Broadcast technicians,Labour Force,1.9
April 2021,Canada,5241 Graphic designers and illustrators,Employment,87.300003
April 2021,Canada,5241 Graphic designers and illustrators,Labour Force,88.900002
April 2021,Canada,7241 Electricians (except industrial and power system),Employment,95.199997
April 2021,Canada,7241 Electricians (except industrial and power system),Labour Force,104.9
April 2021,Canada,7242 Industrial electricians,Employment,36.299999
April 2021,Canada,7242 Industrial electricians,Labour Force,38.099998
April 2021,Canada,7243 Power system electricians,Employment,4.8000002
April 2021,Canada,7243 Power system electricians,Labour Force,4.9000001
April 2021,Canada,7244 Electrical power line and cable workers,Employment,12.8
April 2021,Canada,7244 Electrical power line and cable workers,Labour Force,13.5
April 2021,Canada,7245 Telecommunications line and cable workers,Employment,7.3000002
April 2021,Canada,7245 Telecommunications line and cable workers,Labour Force,7.3000002
April 2021,Canada,7246 Telecommunications installation and repair workers,Employment,30.1
April 2021,Canada,7246 Telecommunications installation and repair workers,Labour Force,30.299999
April 2021,Canada,7247 Cable television service and maintenance technicians,Employment,1.6
April 2021,Canada,7247 Cable television service and maintenance technicians,Labour Force,1.6
April 2021,Manitoba,0211 Engineering managers,Employment,0
April 2021,Manitoba,0211 Engineering managers,Labour Force,0
April 2021,Manitoba,0213 Computer and information systems managers,Employment,1.6
April 2021,Manitoba,0213 Computer and information systems managers,Labour Force,1.6
April 2021,Manitoba,"1123 Professional occupations in advertising, marketing and public relations",Employment,5.9000001
April 2021,Manitoba,"1123 Professional occupations in advertising, marketing and public relations",Labour Force,5.9000001
April 2021,Manitoba,2133 Electrical and electronics engineers,Employment,1.4
April 2021,Manitoba,2133 Electrical and electronics engineers,Labour Force,1.4
April 2021,Manitoba,"2148 Other professional engineers, n.e.c.",Employment,.5
April 2021,Manitoba,"2148 Other professional engineers, n.e.c.",Labour Force,.5
April 2021,Manitoba,"2161 Mathematicians, statisticians and actuaries",Employment,0
April 2021,Manitoba,"2161 Mathematicians, statisticians and actuaries",Labour Force,0
April 2021,Manitoba,2171 Information systems analysts and consultants,Employment,6.1999998
April 2021,Manitoba,2171 Information systems analysts and consultants,Labour Force,6.1999998
April 2021,Manitoba,2172 Database analysts and data administrators,Employment,.69999999
April 2021,Manitoba,2172 Database analysts and data administrators,Labour Force,.69999999
April 2021,Manitoba,2173 Software engineers and designers,Employment,1.1
April 2021,Manitoba,2173 Software engineers and designers,Labour Force,1.1
April 2021,Manitoba,2174 Computer programmers and interactive media developers,Employment,3.4000001
April 2021,Manitoba,2174 Computer programmers and interactive media developers,Labour Force,3.4000001
April 2021,Manitoba,2175 Web designers and developers,Employment,1.1
April 2021,Manitoba,2175 Web designers and developers,Labour Force,1.1
April 2021,Manitoba,2241 Electrical and electronics engineering technologists and technicians,Employment,1.5
April 2021,Manitoba,2241 Electrical and electronics engineering technologists and technicians,Labour Force,1.5
April 2021,Manitoba,2281 Computer network technicians,Employment,2.2
April 2021,Manitoba,2281 Computer network technicians,Labour Force,2.2
April 2021,Manitoba,2282 User support technicians,Employment,3.5999999
April 2021,Manitoba,2282 User support technicians,Labour Force,3.5999999
April 2021,Manitoba,4163 Business development officers and marketing researchers and consultants,Employment,.89999998
April 2021,Manitoba,4163 Business development officers and marketing researchers and consultants,Labour Force,.89999998
April 2021,Manitoba,5223 Graphic arts technicians,Employment,0
April 2021,Manitoba,5223 Graphic arts technicians,Labour Force,0
April 2021,Manitoba,5224 Broadcast technicians,Employment,0
April 2021,Manitoba,5224 Broadcast technicians,Labour Force,0
April 2021,Manitoba,5241 Graphic designers and illustrators,Employment,2
April 2021,Manitoba,5241 Graphic designers and illustrators,Labour Force,2
April 2021,Manitoba,7241 Electricians (except industrial and power system),Employment,2.5999999
April 2021,Manitoba,7241 Electricians (except industrial and power system),Labour Force,2.5999999
April 2021,Manitoba,7242 Industrial electricians,Employment,2
April 2021,Manitoba,7242 Industrial electricians,Labour Force,2.0999999
April 2021,Manitoba,7243 Power system electricians,Employment,.60000002
April 2021,Manitoba,7243 Power system electricians,Labour Force,.60000002
April 2021,Manitoba,7244 Electrical power line and cable workers,Employment,.69999999
April 2021,Manitoba,7244 Electrical power line and cable workers,Labour Force,.69999999
April 2021,Manitoba,7245 Telecommunications line and cable workers,Employment,0
April 2021,Manitoba,7245 Telecommunications line and cable workers,Labour Force,0
April 2021,Manitoba,7246 Telecommunications installation and repair workers,Employment,1.2
April 2021,Manitoba,7246 Telecommunications installation and repair workers,Labour Force,1.2
April 2021,New Brunswick,0211 Engineering managers,Employment,.5
April 2021,New Brunswick,0211 Engineering managers,Labour Force,.5
April 2021,New Brunswick,0213 Computer and information systems managers,Employment,1.9
April 2021,New Brunswick,0213 Computer and information systems managers,Labour Force,1.9
April 2021,New Brunswick,"1123 Professional occupations in advertising, marketing and public relations",Employment,2.3
April 2021,New Brunswick,"1123 Professional occupations in advertising, marketing and public relations",Labour Force,2.5
April 2021,New Brunswick,1253 Records management technicians,Employment,0
April 2021,New Brunswick,1253 Records management technicians,Labour Force,0
April 2021,New Brunswick,2133 Electrical and electronics engineers,Employment,0
April 2021,New Brunswick,2133 Electrical and electronics engineers,Labour Force,0
April 2021,New Brunswick,2147 Computer engineers (except software engineers and designers),Employment,0
April 2021,New Brunswick,2147 Computer engineers (except software engineers and designers),Labour Force,0
April 2021,New Brunswick,"2148 Other professional engineers, n.e.c.",Employment,0
April 2021,New Brunswick,"2148 Other professional engineers, n.e.c.",Labour Force,0
April 2021,New Brunswick,2171 Information systems analysts and consultants,Employment,3.0999999
April 2021,New Brunswick,2171 Information systems analysts and consultants,Labour Force,3.0999999
April 2021,New Brunswick,2172 Database analysts and data administrators,Employment,0
April 2021,New Brunswick,2172 Database analysts and data administrators,Labour Force,0
April 2021,New Brunswick,2173 Software engineers and designers,Employment,0
April 2021,New Brunswick,2173 Software engineers and designers,Labour Force,0
April 2021,New Brunswick,2174 Computer programmers and interactive media developers,Employment,2.5
April 2021,New Brunswick,2174 Computer programmers and interactive media developers,Labour Force,2.5
April 2021,New Brunswick,2175 Web designers and developers,Employment,0
April 2021,New Brunswick,2175 Web designers and developers,Labour Force,0
April 2021,New Brunswick,2241 Electrical and electronics engineering technologists and technicians,Employment,0
April 2021,New Brunswick,2241 Electrical and electronics engineering technologists and technicians,Labour Force,0
April 2021,New Brunswick,2281 Computer network technicians,Employment,.69999999
April 2021,New Brunswick,2281 Computer network technicians,Labour Force,.69999999
April 2021,New Brunswick,2282 User support technicians,Employment,3.2
April 2021,New Brunswick,2282 User support technicians,Labour Force,3.4000001
April 2021,New Brunswick,2283 Information systems testing technicians,Employment,.69999999
April 2021,New Brunswick,2283 Information systems testing technicians,Labour Force,1.1
April 2021,New Brunswick,4163 Business development officers and marketing researchers and consultants,Employment,0
April 2021,New Brunswick,4163 Business development officers and marketing researchers and consultants,Labour Force,0
April 2021,New Brunswick,5241 Graphic designers and illustrators,Employment,.60000002
April 2021,New Brunswick,5241 Graphic designers and illustrators,Labour Force,.60000002
April 2021,New Brunswick,7241 Electricians (except industrial and power system),Employment,1.2
April 2021,New Brunswick,7241 Electricians (except industrial and power system),Labour Force,1.9
April 2021,New Brunswick,7242 Industrial electricians,Employment,1.6
April 2021,New Brunswick,7242 Industrial electricians,Labour Force,1.6
April 2021,New Brunswick,7243 Power system electricians,Employment,0
April 2021,New Brunswick,7243 Power system electricians,Labour Force,0
April 2021,New Brunswick,7244 Electrical power line and cable workers,Employment,.69999999
April 2021,New Brunswick,7244 Electrical power line and cable workers,Labour Force,.69999999
April 2021,New Brunswick,7246 Telecommunications installation and repair workers,Employment,0
April 2021,New Brunswick,7246 Telecommunications installation and repair workers,Labour Force,0
April 2021,Newfoundland and Labrador,0211 Engineering managers,Employment,0
April 2021,Newfoundland and Labrador,0211 Engineering managers,Labour Force,0
April 2021,Newfoundland and Labrador,0213 Computer and information systems managers,Employment,0
April 2021,Newfoundland and Labrador,0213 Computer and information systems managers,Labour Force,0
April 2021,Newfoundland and Labrador,"1123 Professional occupations in advertising, marketing and public relations",Employment,1
April 2021,Newfoundland and Labrador,"1123 Professional occupations in advertising, marketing and public relations",Labour Force,1
April 2021,Newfoundland and Labrador,1253 Records management technicians,Employment,0
April 2021,Newfoundland and Labrador,1253 Records management technicians,Labour Force,0
April 2021,Newfoundland and Labrador,2133 Electrical and electronics engineers,Employment,0
April 2021,Newfoundland and Labrador,2133 Electrical and electronics engineers,Labour Force,0
April 2021,Newfoundland and Labrador,"2148 Other professional engineers, n.e.c.",Employment,.69999999
April 2021,Newfoundland and Labrador,"2148 Other professional engineers, n.e.c.",Labour Force,.69999999
April 2021,Newfoundland and Labrador,"2161 Mathematicians, statisticians and actuaries",Employment,0
April 2021,Newfoundland and Labrador,"2161 Mathematicians, statisticians and actuaries",Labour Force,0
April 2021,Newfoundland and Labrador,2171 Information systems analysts and consultants,Employment,1
April 2021,Newfoundland and Labrador,2171 Information systems analysts and consultants,Labour Force,1
April 2021,Newfoundland and Labrador,2173 Software engineers and designers,Employment,.5
April 2021,Newfoundland and Labrador,2173 Software engineers and designers,Labour Force,.5
April 2021,Newfoundland and Labrador,2174 Computer programmers and interactive media developers,Employment,1.7
April 2021,Newfoundland and Labrador,2174 Computer programmers and interactive media developers,Labour Force,1.7
April 2021,Newfoundland and Labrador,2175 Web designers and developers,Employment,0
April 2021,Newfoundland and Labrador,2175 Web designers and developers,Labour Force,0
April 2021,Newfoundland and Labrador,2241 Electrical and electronics engineering technologists and technicians,Employment,.89999998
April 2021,Newfoundland and Labrador,2241 Electrical and electronics engineering technologists and technicians,Labour Force,1
April 2021,Newfoundland and Labrador,2281 Computer network technicians,Employment,.69999999
April 2021,Newfoundland and Labrador,2281 Computer network technicians,Labour Force,.69999999
April 2021,Newfoundland and Labrador,2282 User support technicians,Employment,1
April 2021,Newfoundland and Labrador,2282 User support technicians,Labour Force,1
April 2021,Newfoundland and Labrador,4163 Business development officers and marketing researchers and consultants,Employment,.69999999
April 2021,Newfoundland and Labrador,4163 Business development officers and marketing researchers and consultants,Labour Force,.69999999
April 2021,Newfoundland and Labrador,5241 Graphic designers and illustrators,Employment,.69999999
April 2021,Newfoundland and Labrador,5241 Graphic designers and illustrators,Labour Force,.69999999
April 2021,Newfoundland and Labrador,7241 Electricians (except industrial and power system),Employment,0
April 2021,Newfoundland and Labrador,7241 Electricians (except industrial and power system),Labour Force,.60000002
April 2021,Newfoundland and Labrador,7242 Industrial electricians,Employment,1.2
April 2021,Newfoundland and Labrador,7242 Industrial electricians,Labour Force,1.2
April 2021,Newfoundland and Labrador,7243 Power system electricians,Employment,0
April 2021,Newfoundland and Labrador,7243 Power system electricians,Labour Force,0
April 2021,Newfoundland and Labrador,7244 Electrical power line and cable workers,Employment,0
April 2021,Newfoundland and Labrador,7244 Electrical power line and cable workers,Labour Force,.69999999
April 2021,Newfoundland and Labrador,7246 Telecommunications installation and repair workers,Employment,.5
April 2021,Newfoundland and Labrador,7246 Telecommunications installation and repair workers,Labour Force,.69999999
April 2021,Nova Scotia,0211 Engineering managers,Employment,0
April 2021,Nova Scotia,0211 Engineering managers,Labour Force,0
April 2021,Nova Scotia,0213 Computer and information systems managers,Employment,1.6
April 2021,Nova Scotia,0213 Computer and information systems managers,Labour Force,1.6
April 2021,Nova Scotia,"1123 Professional occupations in advertising, marketing and public relations",Employment,4.0999999
April 2021,Nova Scotia,"1123 Professional occupations in advertising, marketing and public relations",Labour Force,4.3000002
April 2021,Nova Scotia,1253 Records management technicians,Labour Force,0
April 2021,Nova Scotia,2133 Electrical and electronics engineers,Employment,.60000002
April 2021,Nova Scotia,2133 Electrical and electronics engineers,Labour Force,.60000002
April 2021,Nova Scotia,2147 Computer engineers (except software engineers and designers),Employment,0
April 2021,Nova Scotia,2147 Computer engineers (except software engineers and designers),Labour Force,0
April 2021,Nova Scotia,"2148 Other professional engineers, n.e.c.",Employment,.69999999
April 2021,Nova Scotia,"2148 Other professional engineers, n.e.c.",Labour Force,.69999999
April 2021,Nova Scotia,"2161 Mathematicians, statisticians and actuaries",Employment,0
April 2021,Nova Scotia,"2161 Mathematicians, statisticians and actuaries",Labour Force,0
April 2021,Nova Scotia,2171 Information systems analysts and consultants,Employment,3.4000001
April 2021,Nova Scotia,2171 Information systems analysts and consultants,Labour Force,3.4000001
April 2021,Nova Scotia,2172 Database analysts and data administrators,Employment,.89999998
April 2021,Nova Scotia,2172 Database analysts and data administrators,Labour Force,.89999998
April 2021,Nova Scotia,2173 Software engineers and designers,Employment,0
April 2021,Nova Scotia,2173 Software engineers and designers,Labour Force,0
April 2021,Nova Scotia,2174 Computer programmers and interactive media developers,Employment,2.9000001
April 2021,Nova Scotia,2174 Computer programmers and interactive media developers,Labour Force,2.9000001
April 2021,Nova Scotia,2175 Web designers and developers,Employment,0
April 2021,Nova Scotia,2175 Web designers and developers,Labour Force,0
April 2021,Nova Scotia,2241 Electrical and electronics engineering technologists and technicians,Employment,2
April 2021,Nova Scotia,2241 Electrical and electronics engineering technologists and technicians,Labour Force,2
April 2021,Nova Scotia,2281 Computer network technicians,Employment,1.4
April 2021,Nova Scotia,2281 Computer network technicians,Labour Force,1.4
April 2021,Nova Scotia,2282 User support technicians,Employment,2.7
April 2021,Nova Scotia,2282 User support technicians,Labour Force,3.8
April 2021,Nova Scotia,4163 Business development officers and marketing researchers and consultants,Employment,.60000002
April 2021,Nova Scotia,4163 Business development officers and marketing researchers and consultants,Labour Force,.80000001
April 2021,Nova Scotia,5241 Graphic designers and illustrators,Employment,3.0999999
April 2021,Nova Scotia,5241 Graphic designers and illustrators,Labour Force,3.0999999
April 2021,Nova Scotia,7241 Electricians (except industrial and power system),Employment,1.7
April 2021,Nova Scotia,7241 Electricians (except industrial and power system),Labour Force,2
April 2021,Nova Scotia,7242 Industrial electricians,Employment,.89999998
April 2021,Nova Scotia,7242 Industrial electricians,Labour Force,1.1
April 2021,Nova Scotia,7243 Power system electricians,Employment,0
April 2021,Nova Scotia,7243 Power system electricians,Labour Force,0
April 2021,Nova Scotia,7244 Electrical power line and cable workers,Employment,.89999998
April 2021,Nova Scotia,7244 Electrical power line and cable workers,Labour Force,.89999998
April 2021,Nova Scotia,7245 Telecommunications line and cable workers,Employment,0
April 2021,Nova Scotia,7245 Telecommunications line and cable workers,Labour Force,0
April 2021,Nova Scotia,7246 Telecommunications installation and repair workers,Employment,.69999999
April 2021,Nova Scotia,7246 Telecommunications installation and repair workers,Labour Force,.69999999
April 2021,Ontario,0211 Engineering managers,Employment,11.9
April 2021,Ontario,0211 Engineering managers,Labour Force,11.9
April 2021,Ontario,0213 Computer and information systems managers,Employment,29.5
April 2021,Ontario,0213 Computer and information systems managers,Labour Force,29.5
April 2021,Ontario,0601 Corporate sales managers,Employment,7
April 2021,Ontario,0601 Corporate sales managers,Labour Force,7
April 2021,Ontario,"1123 Professional occupations in advertising, marketing and public relations",Employment,83.400002
April 2021,Ontario,"1123 Professional occupations in advertising, marketing and public relations",Labour Force,85.5
April 2021,Ontario,1253 Records management technicians,Employment,0
April 2021,Ontario,1253 Records management technicians,Labour Force,0
April 2021,Ontario,2133 Electrical and electronics engineers,Employment,26
April 2021,Ontario,2133 Electrical and electronics engineers,Labour Force,26.6
April 2021,Ontario,2147 Computer engineers (except software engineers and designers),Employment,12.1
April 2021,Ontario,2147 Computer engineers (except software engineers and designers),Labour Force,12.1
April 2021,Ontario,"2148 Other professional engineers, n.e.c.",Employment,12.6
April 2021,Ontario,"2148 Other professional engineers, n.e.c.",Labour Force,12.6
April 2021,Ontario,"2161 Mathematicians, statisticians and actuaries",Employment,8.3999996
April 2021,Ontario,"2161 Mathematicians, statisticians and actuaries",Labour Force,8.3999996
April 2021,Ontario,2171 Information systems analysts and consultants,Employment,129.2
April 2021,Ontario,2171 Information systems analysts and consultants,Labour Force,133.7
April 2021,Ontario,2172 Database analysts and data administrators,Employment,39.599998
April 2021,Ontario,2172 Database analysts and data administrators,Labour Force,40.099998
April 2021,Ontario,2173 Software engineers and designers,Employment,59.799999
April 2021,Ontario,2173 Software engineers and designers,Labour Force,60.5
April 2021,Ontario,2174 Computer programmers and interactive media developers,Employment,112.9
April 2021,Ontario,2174 Computer programmers and interactive media developers,Labour Force,114.3
April 2021,Ontario,2175 Web designers and developers,Employment,10.6
April 2021,Ontario,2175 Web designers and developers,Labour Force,11.7
April 2021,Ontario,2241 Electrical and electronics engineering technologists and technicians,Employment,12.2
April 2021,Ontario,2241 Electrical and electronics engineering technologists and technicians,Labour Force,12.2
April 2021,Ontario,2281 Computer network technicians,Employment,16.200001
April 2021,Ontario,2281 Computer network technicians,Labour Force,16.200001
April 2021,Ontario,2282 User support technicians,Employment,41.099998
April 2021,Ontario,2282 User support technicians,Labour Force,42.099998
April 2021,Ontario,2283 Information systems testing technicians,Employment,1.6
April 2021,Ontario,2283 Information systems testing technicians,Labour Force,2.5
April 2021,Ontario,4163 Business development officers and marketing researchers and consultants,Employment,16.6
April 2021,Ontario,4163 Business development officers and marketing researchers and consultants,Labour Force,16.6
April 2021,Ontario,5223 Graphic arts technicians,Employment,1.8
April 2021,Ontario,5223 Graphic arts technicians,Labour Force,2.7
April 2021,Ontario,5224 Broadcast technicians,Employment,1.8
April 2021,Ontario,5224 Broadcast technicians,Labour Force,1.8
April 2021,Ontario,5241 Graphic designers and illustrators,Employment,32
April 2021,Ontario,5241 Graphic designers and illustrators,Labour Force,33.599998
April 2021,Ontario,7241 Electricians (except industrial and power system),Employment,45.299999
April 2021,Ontario,7241 Electricians (except industrial and power system),Labour Force,50.799999
April 2021,Ontario,7242 Industrial electricians,Employment,13.5
April 2021,Ontario,7242 Industrial electricians,Labour Force,13.5
April 2021,Ontario,7243 Power system electricians,Employment,1.6
